 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description ;
;;;; Not ;; i2s_in_suc_eof_int_raw ; [9] ; 1'b0 ; RO   ; i2s_in_suc_eof/1'b1 ; i2s_in_suc_eof_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_in_suc_eof_int interrupt;
;;;; Not ;; i2s_in_done_int_raw ; [8] ; 1'b0 ; RO   ; i2s_in_done/1'b1 ; i2s_in_done_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_in_done_int interrupt;
;;;; Not ;; i2s_tx_hung_int_raw ; [7] ; 1'b0 ; RO   ; i2s_tx_hung/1'b1 ; i2s_tx_hung_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_tx_hung_int interrupt;
;;;; Not ;; i2s_rx_hung_int_raw ; [6] ; 1'b0 ; RO   ; i2s_rx_hung/1'b1 ; i2s_rx_hung_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_rx_hung_int interrupt;
;;;; Not;; i2s_tx_rempty_int_raw; [5]; 1'b0 ; RO ; rempty_tx/1'b1; i2s_tx_rempty_int_clr/1'b0;;The raw interrupt status bit  for the i2s_tx_rempty_int interrupt;
;;;; Not;; i2s_tx_wfull_int_raw; [4]; 1'b0 ; RO ; wfull_tx/1'b1; i2s_tx_wfull_int_clr/1'b0;;The raw interrupt status bit  for the i2s_tx_wfull_int interrupt;
;;;; Not;; i2s_rx_rempty_int_raw; [3]; 1'b0 ; RO ; rempty_rx/1'b1; i2s_rx_rempty_int_clr/1'b0;;The raw interrupt status bit  for the i2s_rx_rempty_int interrupt;
;;;; Not;; i2s_rx_wfull_int_raw; [2] ; 1'b0 ; RO ; wfull_rx/1'b1; i2s_rx_wfull_int_clr/1'b0;;The raw interrupt status bit  for the i2s_rx_wfull_int interrupt;
;;;; Not;; i2s_tx_put_data_int_raw; [1]; 1'b0 ; RO ; put_data_int/1'b1; i2s_put_data_int_clr/1'b0;;The raw interrupt status bit  for the i2s_tx_put_data_int interrupt;
;;;; Not;; i2s_rx_take_data_int_raw; [0]; 1'b0 ; RO ; take_data_int/1'b1 ; i2s_take_data_int_clr/1'b0;;The raw interrupt status bit  for the i2s_rx_take_data_int interrupt;
0x0010; I2SINT_ST; clk; reset_n ;;;; [31:18]; 14'h0 ; RO ;;;INT_ST;;
;;;; Not ;; i2s_v_sync_int_st; [17]; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_v_sync_int  interrupt;
;;;; Not ;; i2s_out_total_eof_int_st ; [16] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_out_total_eof_int interrupt;
;;;; Not ;; i2s_in_dscr_empty_int_st ; [15] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_in_dscr_empty_int interrupt;
;;;; Not ;; i2s_out_dscr_err_int_st ; [14] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_out_dscr_err_int interrupt;
;;;; Not ;; i2s_in_dscr_err_int_st ; [13] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_in_dscr_err_int interrupt;
;;;; Not ;; i2s_out_eof_int_st ; [12] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_out_eof_int interrupt;
;;;; Not ;; i2s_out_done_int_st ; [11] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_out_done_int interrupt;
;;;; Not ;N/A; i2s_in_err_eof_int_st ; [10] ; 1'b0 ; RO   ;;;;don't use;
;;;; Not ;; i2s_in_suc_eof_int_st ; [9] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_in_suc_eof_int interrupt;
;;;; Not ;; i2s_in_done_int_st ; [8] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_in_done_int interrupt;
;;;; Not ;; i2s_tx_hung_int_st ; [7] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_tx_hung_int interrupt;
;;;; Not ;; i2s_rx_hung_int_st ; [6] ; 1'b0 ; RO   ;;;;The masked interrupt status bit  for the i2s_rx_hung_int interrupt;
;;;; Not;; i2s_tx_rempty_int_st; [5]; 1'b0 ; RO ;;;;The masked interrupt status bit  for the i2s_tx_rempty_int interrupt;
;;;; Not;; i2s_tx_wfull_int_st; [4]; 1'b0 ; RO ;;;;The masked interrupt status bit  for the i2s_tx_wfull_int interrupt;
;;;; Not;; i2s_rx_rempty_int_st; [3]; 1'b0 ; RO ;;;;The masked interrupt status bit  for the i2s_rx_rempty_int interrupt;
;;;; Not;; i2s_rx_wfull_int_st; [2] ; 1'b0 ; RO ;;;;The masked interrupt status bit  for the i2s_rx_wfull_int interrupt;
;;;; Not;; i2s_tx_put_data_int_st; [1]; 1'b0 ; RO ;;;;The masked interrupt status bit  for the i2s_tx_put_data_int interrupt;
;;;; Not;; i2s_rx_take_data_int_st; [0]; 1'b0 ; RO ;;;;The masked interrupt status bit  for the i2s_rx_take_data_int interrupt;
0x0014; I2SINT_ENA; clk; reset_n ;;;; [31:18]; 14'h0 ; RO ;;;;;
;;;; Not ;; i2s_v_sync_int_ena; [17] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_v_sync_int interrupt;
;;;; Not ;; i2s_out_total_eof_int_ena; [16] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_out_total_eof_int interrupt;
;;;; Not ;; i2s_in_dscr_empty_int_ena ; [15] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_in_dscr_empty_int interrupt;
;;;; Not ;; i2s_out_dscr_err_int_ena ; [14] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_out_dscr_err_int interrupt;
;;;; Not ;; i2s_in_dscr_err_int_ena ; [13] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_in_dscr_err_int interrupt;
;;;; Not ;; i2s_out_eof_int_ena ; [12] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_out_eof_int interrupt;
;;;; Not ;; i2s_out_done_int_ena ; [11] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_out_done_int interrupt;
;;;; Not ;N/A; i2s_in_err_eof_int_ena ; [10] ; 1'b0 ; R/W ;;;;don't use;
;;;; Not ;; i2s_in_suc_eof_int_ena ; [9] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_in_suc_eof_int interrupt;
;;;; Not ;; i2s_in_done_int_ena ; [8] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_in_done_int interrupt;
;;;; Not ;; i2s_tx_hung_int_ena ; [7] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_tx_hung_int interrupt;
;;;; Not ;; i2s_rx_hung_int_ena ; [6] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_rx_hung_int interrupt;
;;;; Not;; i2s_tx_rempty_int_ena; [5]; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_tx_rempty_int interrupt;
;;;; Not;; i2s_tx_wfull_int_ena; [4]; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_tx_wfull_int interrupt;
;;;; Not;; i2s_rx_rempty_int_ena; [3]; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_rx_rempty_int interrupt;
;;;; Not;; i2s_rx_wfull_int_ena; [2] ; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_rx_wfull_int interrupt;
;;;; Not;; i2s_tx_put_data_int_ena; [1]; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_tx_put_data_int interrupt;
;;;; Not;; i2s_rx_take_data_int_ena; [0]; 1'b0 ; R/W ;;;;The interrupt enable bit  for the i2s_rx_take_data_int interrupt;
0x0018; I2SINT_CLR; clk; reset_n ;;;; [31:18]; 14'h0 ; RO ;;;;;
;;;; Not ;; i2s_v_sync_int_clr; [17] ; 1'b0 ; WO ;;;;Set this bit to clear the  i2s_v_sync_int interrupt;
;;;; Not ;; i2s_out_total_eof_int_clr; [16] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_out_total_eof_int interrupt;
;;;; Not ;; i2s_in_dscr_empty_int_clr ; [15] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_in_dscr_empty_int interrupt;
;;;; Not ;; i2s_out_dscr_err_int_clr ; [14] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_out_dscr_err_int interrupt;
;;;; Not ;; i2s_in_dscr_err_int_clr ; [13] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_in_dscr_err_int interrupt;
;;;; Not ;; i2s_out_eof_int_clr ; [12] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_out_eof_int interrupt;
;;;; Not ;; i2s_out_done_int_clr ; [11] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_out_done_int interrupt;
;;;; Not ;N/A; i2s_in_err_eof_int_clr ; [10] ; 1'b0 ; WO ;;;;don't use;
;;;; Not ;; i2s_in_suc_eof_int_clr ; [9] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_in_suc_eof_int interrupt;
;;;; Not ;; i2s_in_done_int_clr ; [8] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_in_done_int interrupt;
;;;; Not ;; i2s_tx_hung_int_clr ; [7] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_tx_hung_int interrupt;
;;;; Not ;; i2s_rx_hung_int_clr ; [6] ; 1'b0 ; WO ;;;;Set this bit to clear the i2s_rx_hung_int interrupt;
;;;; Not;; i2s_tx_rempty_int_clr; [5]; 1'b0 ; WO;;;;Set this bit to clear the i2s_tx_rempty_int interrupt;
;;;; Not;; i2s_tx_wfull_int_clr; [4]; 1'b0 ; WO;;;;Set this bit to clear the i2s_tx_wfull_int interrupt;
;;;; Not;; i2s_rx_rempty_int_clr; [3]; 1'b0 ; WO;;;;Set this bit to clear the i2s_rx_rempty_int interrupt;
;;;; Not;; i2s_rx_wfull_int_clr; [2] ; 1'b0 ; WO;;;;Set this bit to clear the i2s_rx_wfull_int interrupt;
;;;; Not;; i2s_put_data_int_clr; [1]; 1'b0 ; WO;;;;Set this bit to clear the i2s_tx_put_data_int interrupt;
;;;; Not;; i2s_take_data_int_clr; [0]; 1'b0 ; WO;;;;Set this bit to clear the i2s_rx_take_data_int interrupt;
0x001c; I2STIMING ; clk; reset_n;;;; [31:25]; 7'b0; RO;;;;;
;;;;;; reg_tx_bck_in_inv ; [24]; 1'b0 ; R/W ;;;;Set this bit to invert BCK signal input to the slave transmitter;
;;;;;; reg_data_enable_delay; [23:22]; 2'b0; R/W;;;;Number of delay cycles for data valid flag.;
;;;;;; reg_rx_dsync_sw; [21]; 1'b0 ; R/W ;;;;Set this bit to synchronize signals with the double sync method into the receiver;
;;;;;; reg_tx_dsync_sw; [20]; 1'b0 ; R/W ;;;;Set this bit to synchronize signals with the double sync method into the transmitter;
;;;;;; reg_rx_bck_out_delay; [19:18]; 2'b0; R/W ;;;;Number of delay cycles for BCK out of the receiver;
;;;;;; reg_rx_ws_out_delay; [17:16]; 2'b0; R/W ;;;;Number of delay cycles for WS out of the receiver;
;;;;;; reg_tx_sd_out_delay; [15:14]; 2'b0; R/W ;;;;Number of delay cycles for SD out of the transmitter;
;;;;;; reg_tx_ws_out_delay; [13:12]; 2'b0; R/W ;;;;Number of delay cycles for WS out of the transmitter;
;;;;;; reg_tx_bck_out_delay; [11:10]; 2'b0; R/W ;;;;Number of delay cycles for BCK out of the transmitter;
;;;;;; reg_rx_sd_in_delay; [9:8]; 2'b0; R/W ;;;;Number of delay cycles for SD into the receiver;
;;;;;; reg_rx_ws_in_delay; [7:6]; 2'b0; R/W ;;;;Number of delay cycles for WS into the receiver;
;;;;;; reg_rx_bck_in_delay; [5:4]; 2'b0; R/W ;;;;Number of delay cycles for BCK into the receiver;
;;;;;; reg_tx_ws_in_delay; [3:2]; 2'b0; R/W ;;;;Number of delay cycles for WS into the transmitter;
;;;;;; reg_tx_bck_in_delay; [1:0]; 2'b0; R/W ;;;;Number of delay cycles for BCK into the transmitter;
0x0020; I2S_FIFO_CONF; clk; reset_n;;;; [31:24]; 8'h0; RO;;;;;
;;;;;; reg_i2s_tx_24msb_en; [23]; 1'b0; R/W ;;;;Only useful in tx 24bit mode. 1: the high 24 bits are effective in i2s fifo   0: the low 24 bits are effective in i2s fifo;
;;;;;; reg_i2s_rx_24msb_en; [22]; 1'b0; R/W ;;;;Only useful in rx 24bit mode. 1: the high 24 bits are effective in i2s fifo   0: the low 24 bits are effective in i2s fifo;
;;;;;; reg_i2s_rx_fifo_sync; [21]; 1'b0 ; R/W ;;;;force write back rx data to memory;
;;;;;; reg_i2s_rx_fifo_mod_force_en; [20]; 1'b0 ; R/W ;;;;The bit should always be set to 1;
;;;;;; reg_i2s_tx_fifo_mod_force_en; [19]; 1'b0 ; R/W ;;;;The bit should always be set to 1;
;;;;;; reg_i2s_rx_fifo_mod; [18:16]; 3'b0 ; R/W ;;;;Receiver FIFO mode configuration bits;
;;;;;; reg_i2s_tx_fifo_mod; [15:13]; 3'b0; R/W ;;;;Transmitter FIFO mode configuration bits;
;;;;;; reg_i2s_dscr_en; [12]; 1'd1 ; R/W ;;;;Set this bit to enable I2S DMA mode;
;;;;;; reg_i2s_tx_data_num; [11:6]; 6'd32 ; R/W ;;;;Threshold of data length in transmitter FIFO;
;;;;;; reg_i2s_rx_data_num; [5:0]; 6'd32 ; R/W ;;;;Threshold of data length in receiver FIFO;
0x0024; I2SRXEOF_NUM; clk; reset_n ;;; reg_i2s_rx_eof_num ; [31:0]; 32'd64; R/W ;;;;the length of data to be received. It will trigger i2s_in_suc_eof_int.;
0x0028; I2SCONF_SIGLE_DATA; clk; reset_n;;; reg_i2s_sigle_data; [31:0]; 32'd0; R/W ;;;;the right channel or left channel put out constant value stored in this register according to tx_chan_mod and reg_tx_msb_right;
0x002c; I2SCONF_CHAN ; clk ; reset_n;;;; [31:5]; 27'h0 ; RO ;;;;;
;;;;;; reg_rx_chan_mod ; [4:3]; 2'b0; R/W ;;;;I2S receiver channel mode configuration bits.;
;;;;;; reg_tx_chan_mod; [2:0]; 3'b0 ; R/W ;;;;I2S transmitter channel mode configuration bits.;
 0x0030 ;I2SOUT_LINK ; clk ; reset_n ;;N/A; outlink_park ; [31] ; 1'h0 ; RO   ;;;;;
;;;;;; i2s_outlink_restart ; [30] ; 1'b0 ; R/W ; i2s_outlink_restart_clr/1'b0 ;;;Set this bit to restart outlink descriptor;
;;;;;; i2s_outlink_start   ; [29] ; 1'b0 ; R/W ; i2s_outlink_start_clr/1'b0 ;;;Set this bit to start outlink descriptor;
;;;;;; i2s_outlink_stop   ; [28] ; 1'b0 ; R/W ; i2s_outlink_stop_clr/1'b0 ;;;Set this bit to stop outlink descriptor;
;;;;;;; [27:20] ; 8'b0 ; RO   ;;;;;
;;;;;; i2s_outlink_addr ; [19:0] ; 20'h0 ; R/W ;;;;The address of first outlink descriptor;
 0x0034 ; I2SIN_LINK ; clk ; reset_n ;;N/A; inlink_park ; [31] ; 1'h0 ; RO   ;;;;;
;;;;;; i2s_inlink_restart ; [30] ; 1'b0 ; R/W ; i2s_inlink_restart_clr/1'b0 ;;;Set this bit to restart inlink descriptor;
;;;;;; i2s_inlink_start   ; [29] ; 1'b0 ; R/W ; i2s_inlink_start_clr/1'b0 ;;;Set this bit to start inlink descriptor;
;;;;;; i2s_inlink_stop   ; [28] ; 1'b0 ; R/W ; i2s_inlink_stop_clr/1'b0 ;;;Set this bit to stop inlink descriptor;
;;;;;;; [27:20] ; 8'b0 ; RO   ;;;;;
;;;;;; i2s_inlink_addr ; [19:0] ; 20'h0 ; R/W ;;;;The address of first inlink descriptor;
 0x0038; I2S_OUT_EOF_DES_ADDR ; clk ; reset_n ;;; i2s_out_eof_des_addr ; [31:0] ; 32'h0 ; RO   ;;;;The address of outlink descriptor that produces EOF;
 0x003c; I2S_IN_EOF_DES_ADDR ; clk ; reset_n ;;; i2s_in_suc_eof_des_addr ; [31:0] ; 32'h0 ; RO   ;;;;The address of inlink descriptor that produces EOF;
 0x0040; I2S_OUT_EOF_BFR_DES_ADDR ; clk ; reset_n ;;; i2s_out_eof_bfr_des_addr ; [31:0] ; 32'h0 ; RO   ;;;;The address of buffer relative to the outlink descriptor that produces EOF;
 0x0044; I2S_AHB_TEST ; clk ; reset_n ;;;; [31:6] ; 26'b0 ; RO   ;;;;;
;;;;;N/A; i2s_ahb_testaddr ; [5:4] ; 2'b0 ; R/W ;;;;;
;;;;;;; [3] ; 1'b0 ; RO   ;;;;;
;;;;;N/A; i2s_ahb_testmode ; [2:0] ; 3'b0 ; R/W ;;;;;
 0x0048; I2S_INLINK_DSCR ; clk ; reset_n ;;; i2s_inlink_dscr ; [31:0] ; 32'b0 ; RO   ;;;;The address of current inlink descriptor;
 0x004C; I2S_INLINK_DSCR_BF0 ; clk ; reset_n ;;; i2s_inlink_dscr_bf0 ; [31:0] ; 32'b0 ; RO   ;;;;The address of next inlink descriptor;
 0x0050; I2S_INLINK_DSCR_BF1 ; clk ; reset_n ;;; i2s_inlink_dscr_bf1 ; [31:0] ; 32'b0 ; RO   ;;;;The address of next inlink data buffer;
 0x0054; I2S_OUTLINK_DSCR ; clk ; reset_n ;;; i2s_outlink_dscr ; [31:0] ; 32'b0 ; RO   ;;;;The address of current outlink descriptor;
 0x0058; I2S_OUTLINK_DSCR_BF0 ; clk ; reset_n ;;; i2s_outlink_dscr_bf0 ; [31:0] ; 32'b0 ; RO   ;;;;The address of next outlink descriptor;
 0x005C; I2S_OUTLINK_DSCR_BF1 ; clk ; reset_n ;;; i2s_outlink_dscr_bf1 ; [31:0] ; 32'b0 ; RO   ;;;;The address of next outlink data buffer;
 0x0060; I2S_LC_CONF; clk ; reset_n ;;;; [31:16] ; 16'h0 ; RO   ;;;;;
;;;;;; i2s_ext_mem_bk_size; [15:14]; 2'b0; R/W ;;;;DMA access external memory block size. 0: 16 bytes      1: 32 bytes    2:64 bytes      3:reserved;
;;;;;; i2s_mem_trans_en; [13]; 1'b0 ; R/W ;;;;don't use;
;;;;;; i2s_check_owner; [12]; 1'b0 ; R/W ;;;;Set this bit to enable check owner bit by hardware;
;;;;;; i2s_out_data_burst_en; [11]; 1'b0 ; R/W ;;;;Transmitter data transfer mode configuration bit. 1:  to prepare out data with burst mode      0: to prepare out data with byte mode;
;;;;;; i2s_indscr_burst_en; [10]; 1'b0 ; R/W ;;;;DMA inlink descriptor transfer mode configuration bit. 1:  to prepare inlink descriptor with burst mode    0: to prepare inlink descriptor with byte mode;
;;;;;; i2s_outdscr_burst_en; [9]; 1'b0 ; R/W ;;;;DMA outlink descriptor transfer mode configuration bit. 1:  to prepare outlink descriptor with burst mode    0: to prepare outlink descriptor with byte mode;
;;;;;; i2s_out_eof_mode; [8]; 1'b1 ; R/W ;;;;DMA out EOF flag generation mode . 1: when dma has popped all data from the FIFO  0:when ahb has pushed all data to the FIFO;
;;;;;N/A; i2s_out_no_restart_clr ; [7] ; 1'b0 ; R/W ;;;;don't use;
;;;;;; i2s_out_auto_wrback ; [6] ; 1'b0 ; R/W ;;;;Set this bit to enable outlink-written-back automatically when out buffer is transmitted done.;
;;;;;; i2s_in_loop_test ; [5] ; 1'b0 ; R/W ;;;;Set this bit to loop test outlink;
;;;;;; i2s_out_loop_test ; [4] ; 1'b0 ; R/W ;;;;Set this bit to loop test inlink;
;;;;;; i2s_ahbm_rst ; [3] ; 1'b0 ; R/W ;;;;Set this bit to reset ahb interface of DMA;
;;;;;; i2s_ahbm_fifo_rst ; [2] ; 1'b0 ; R/W ;;;;Set this bit to reset ahb interface cmdFIFO of DMA;
;;;;;; i2s_out_rst ; [1] ; 1'b0 ; R/W ;;;;Set this bit to reset out dma FSM;
;;;;;; i2s_in_rst ; [0] ; 1'h0 ; R/W ;;;;Set this bit to reset in dma FSM;
 0x0064; I2S_OUTFIFO_PUSH ; clk ; reset_n ;;;; [31:17] ; 15'h0 ; RO   ;;;;;
;;;;;; i2s_outfifo_push ; [16] ; 1'h0 ; R/W ; i2s_outfifo_push_clr/1'b0 ;;;;
;;;;;;; [15:9] ; 7'h0 ; RO   ;;;;;
;;;;;; i2s_outfifo_wdata ; [8:0] ; 9'h0 ; R/W ;;;;;
 0x0068; I2S_INFIFO_POP ; clk ; reset_n ;;;; [31:17] ; 15'h0 ; RO   ;;;;;
;;;;;; i2s_infifo_pop ; [16] ; 1'h0 ; R/W ; i2s_infifo_pop_clr/1'b0 ;;;;
;;;;;;; [15:12] ; 4'h0 ; RO   ;;;;;
;;;;;; i2s_infifo_rdata ; [11:0] ; 12'h0 ; RO   ;;;;;
 0x006C ; I2S_LC_STATE0 ; clk ; reset_n ;;;out_empty; [31] ; 1'h0 ; RO   ;;;;DMA transmitter status register;
;;;;;;out_full; [30] ; 1'b0; RO   ;;;;;
;;;;;;outfifo_cnt; [29:23]; 7'b0; RO   ;;;;;
;;;;;;out_state; [22:20]; 3'b0; RO   ;;;;;
;;;;;;out_dscr_state; [19:18]; 2'b0; RO   ;;;;;
;;;;;;outlink_dscr_addr; [17:0]; 18'h0 ; RO   ;;;;;
 0x0070 ; I2S_LC_STATE1 ; clk ; reset_n ;;;in_empty; [31] ; 1'h0 ; RO   ;;;;DMA receiver status register;
;;;;;;in_full; [30] ; 1'b0; RO   ;;;;;
;;;;;;infifo_cnt_debug; [29:23]; 7'b0; RO   ;;;;;
;;;;;;in_state; [22:20]; 3'b0; RO   ;;;;;
;;;;;;in_dscr_state; [19:18]; 2'b0; RO   ;;;;;
;;;;;;inlink_dscr_addr; [17:0]; 18'h0 ; RO   ;;;;;
 0x0074; I2S_LC_HUNG_CONF; clk ; reset_n ;;;; [31:12] ; 20'h0 ; RO   ;;;;;
;;;;;; i2s_lc_fifo_timeout_ena; [11]; 1'b1 ; R/W ;;;;The enable bit for FIFO timeout;
