Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
;;;;;;RTC_GPIO_PIN7_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN7_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN7_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x48;RTC_GPIO_PIN8;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN8_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN8_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN8_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x4C;RTC_GPIO_PIN9;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN9_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN9_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN9_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x50;RTC_GPIO_PIN10;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN10_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN10_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN10_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x54;RTC_GPIO_PIN11;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN11_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN11_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN11_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x58;RTC_GPIO_PIN12;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN12_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN12_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN12_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x5C;RTC_GPIO_PIN13;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN13_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN13_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN13_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x60;RTC_GPIO_PIN14;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN14_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN14_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN14_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x64;RTC_GPIO_PIN15;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN15_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN15_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN15_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x68;RTC_GPIO_PIN16;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN16_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN16_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN16_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x6C;RTC_GPIO_PIN17;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN17_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN17_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN17_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x70;RTC_GPIO_PIN18;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN18_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN18_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN18_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x74;RTC_GPIO_PIN19;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN19_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN19_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN19_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x78;RTC_GPIO_PIN20;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN20_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN20_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN20_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x7C;RTC_GPIO_PIN21;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN21_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN21_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN21_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x80;RTC_DEBUG_SEL;dig_clk_rtc_gated;rst_rtc_n;;;;[31:26];;;;;;;
;;;;;N/A;reg_rtc_debug_12m_no_gating;[25];1'd0;R/W;;;;;
;;;;;N/A;reg_rtc_debug_sel4;[24:20];5'd0;R/W;;;;;
;;;;;N/A;reg_rtc_debug_sel3;[19:15];5'd0;R/W;;;;;
;;;;;N/A;reg_rtc_debug_sel2;[14:10];5'd0;R/W;;;;;
;;;;;N/A;reg_rtc_debug_sel1;[9:5];5'd0;R/W;;;;;
;;;;;N/A;reg_rtc_debug_sel0;[4:0];5'd0;R/W;;;;;
0x84;TOUCH_PAD0;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad0_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad0_rde;[28];1'd1;R/W;;;;;RDE
;;;;;;reg_touch_pad0_rue;[27];1'd0;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad0_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad0_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad0_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad0_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad0_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad0_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad0_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
;;;;;;reg_touch_pad0_slp_ie;[15];1'd0;R/W;;;;;input enable in sleep mode
;;;;;;reg_touch_pad0_slp_oe;[14];1'd0;R/W;;;;;output enable in sleep mode
;;;;;;reg_touch_pad0_fun_ie;[13];1'd0;R/W;;;;;input enable in work mode
;;;;;;;[12:0];;;;;;;
0x88;TOUCH_PAD1;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad1_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad1_rde;[28];1'd0;R/W;;;;;RDE
;;;;;;reg_touch_pad1_rue;[27];1'd1;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad1_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad1_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad1_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad1_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad1_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad1_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad1_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
;;;;;;reg_touch_pad1_slp_ie;[15];1'd0;R/W;;;;;input enable in sleep mode
;;;;;;reg_touch_pad1_slp_oe;[14];1'd0;R/W;;;;;output enable in sleep mode
;;;;;;reg_touch_pad1_fun_ie;[13];1'd0;R/W;;;;;input enable in work mode
;;;;;;;[12:0];;;;;;;
0x8C;TOUCH_PAD2;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad2_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad2_rde;[28];1'd1;R/W;;;;;RDE
;;;;;;reg_touch_pad2_rue;[27];1'd0;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad2_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad2_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad2_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad2_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad2_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad2_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad2_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
;;;;;;reg_touch_pad2_slp_ie;[15];1'd0;R/W;;;;;input enable in sleep mode
;;;;;;reg_touch_pad2_slp_oe;[14];1'd0;R/W;;;;;output enable in sleep mode
;;;;;;reg_touch_pad2_fun_ie;[13];1'd0;R/W;;;;;input enable in work mode
;;;;;;;[12:0];;;;;;;
0x90;TOUCH_PAD3;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad3_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad3_rde;[28];1'd0;R/W;;;;;RDE
;;;;;;reg_touch_pad3_rue;[27];1'd1;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad3_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad3_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad3_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad3_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad3_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad3_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad3_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
;;;;;;reg_touch_pad3_slp_ie;[15];1'd0;R/W;;;;;input enable in sleep mode
;;;;;;reg_touch_pad3_slp_oe;[14];1'd0;R/W;;;;;output enable in sleep mode
;;;;;;reg_touch_pad3_fun_ie;[13];1'd0;R/W;;;;;input enable in work mode
;;;;;;;[12:0];;;;;;;
0x94;TOUCH_PAD4;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad4_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad4_rde;[28];1'd1;R/W;;;;;RDE
;;;;;;reg_touch_pad4_rue;[27];1'd0;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad4_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad4_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad4_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad4_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad4_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad4_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad4_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
;;;;;;reg_touch_pad4_slp_ie;[15];1'd0;R/W;;;;;input enable in sleep mode
;;;;;;reg_touch_pad4_slp_oe;[14];1'd0;R/W;;;;;output enable in sleep mode
;;;;;;reg_touch_pad4_fun_ie;[13];1'd0;R/W;;;;;input enable in work mode
;;;;;;;[12:0];;;;;;;
0x98;TOUCH_PAD5;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad5_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad5_rde;[28];1'd1;R/W;;;;;RDE
;;;;;;reg_touch_pad5_rue;[27];1'd0;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad5_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad5_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad5_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad5_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad5_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad5_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad5_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
;;;;;;reg_touch_pad5_slp_ie;[15];1'd0;R/W;;;;;input enable in sleep mode
;;;;;;reg_touch_pad5_slp_oe;[14];1'd0;R/W;;;;;output enable in sleep mode
;;;;;;reg_touch_pad5_fun_ie;[13];1'd0;R/W;;;;;input enable in work mode
;;;;;;;[12:0];;;;;;;
0x9C;TOUCH_PAD6;dig_clk_rtc_gated;rst_rtc_n;;;;[31];;;;;;;
;;;;;;reg_touch_pad6_drv;[30:29];2'd2;R/W;;;;;DRV
;;;;;;reg_touch_pad6_rde;[28];1'd0;R/W;;;;;RDE
;;;;;;reg_touch_pad6_rue;[27];1'd1;R/W;;;;;RUE
;;;;;;;[26];;;;;;;
;;;;;;reg_touch_pad6_dac;[25:23];3'h4;R/W;;;;;TOUCH_DAC
;;;;;;reg_touch_pad6_start;[22];1'd0;R/W;;;;;TOUCH_START
;;;;;;reg_touch_pad6_tie_opt;[21];1'd0;R/W;;;;;TOUCH_TIE_OPT
;;;;;;reg_touch_pad6_xpd;[20];1'd0;R/W;;;;;TOUCH_XPD
;;;;;;reg_touch_pad6_mux_sel;[19];1'd0;R/W;;;;;1: use RTC GPIO,0: use digital GPIO
;;;;;;reg_touch_pad6_fun_sel;[18:17];2'd0;R/W;;;;;function sel
;;;;;;reg_touch_pad6_slp_sel;[16];1'd0;R/W;;;;;1: enable sleep mode during sleep,0: no sleep mode
