Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description;;;;
;;;;;;reg_gpio_wakeup_filter;[22];1'd0;R/W;;;;;;;;;
;;;;;;reg_rtc_wakeup_ena;[21:11];11'b1100;R/W;;;;;;;;;
;;;;;;wakeup_cause;[10:0];11'h0;RO;;;;;;;;;
0x000f;INT_ENA_RTC;dig_clk_rtc_gated;rst_rtc_n;;;;[31:9];;;;;;;;;;;
;;;;Not;;rtc_main_timer_int_ena;[8];1'b0;R/W;;;;;;;;;
;;;;Not;;rtc_brown_out_int_ena;[7];1'b0;R/W;;;;;;;;;
;;;;Not;;rtc_touch_int_ena;[6];1'b0;R/W;;;;;;;;;
;;;;Not;;rtc_sar_int_ena;[5];1'b0;R/W;;;;;;;;;
;;;;Not;;rtc_time_valid_int_ena;[4];1'b0;R/W;;;;;;;;;
;;;;Not;;rtc_wdt_int_ena;[3];1'b0;R/W;;;;;;;;;
;;;;Not;;sdio_idle_int_ena;[2];1'b0;R/W;;;;;;;;;
;;;;Not;;slp_reject_int_ena;[1];1'b0;R/W;;;;;;;;;
;;;;Not;;slp_wakeup_int_ena;[0];1'b0;R/W;;;;;;;;;
0x0010;INT_RAW_RTC;dig_clk_rtc;rst_rtc_n;;;;[31:9];;;;;;;;;;;
;;;;Not;;rtc_main_timer_int_raw;[8];1'b0;RO;;rtc_main_timer_int/1'd1;rtc_main_timer_int_clr/1'd0;;;;;;
;;;;Not;;rtc_brown_out_int_raw;[7];1'b0;RO;;rtc_brown_out_int/1'd1;rtc_brown_out_int_clr/1'd0;;;;;;
;;;;Not;;rtc_touch_int_raw;[6];1'b0;RO;;rtc_touch_int/1'd1;rtc_touch_int_clr/1'd0;;;;;;
;;;;Not;;rtc_sar_int_raw;[5];1'b0;RO;;rtc_sar_int/1'd1;rtc_sar_int_clr/1'd0;;;;;;
;;;;Not;;rtc_time_valid_int_raw;[4];1'b0;RO;;rtc_time_valid_int/1'd1;rtc_time_valid_int_clr/1'd0;;;;;;
;;;;Not;;rtc_wdt_int_raw;[3];1'b0;RO;;rtc_wdt_int/1'd1;rtc_wdt_int_clr/1'd0;;;;;;
;;;;Not;;sdio_idle_int_raw;[2];1'b0;RO;;sdio_idle_ind/1'd1;sdio_idle_int_clr/1'd0;;;;;;
;;;;Not;;slp_reject_int_raw;[1];1'b0;RO;;rtc_slp_reject/1'd1;slp_reject_int_clr/1'd0;;;;;;
;;;;Not;;slp_wakeup_int_raw;[0];1'b0;RO;;slp_wakeup_ind/1'd1;slp_wakeup_int_clr/1'd0;;;;;;
0x0011;INT_ST_RTC;dig_clk_rtc;rst_rtc_n;;;;[31:9];;;;;;INT_ST;;;;;
;;;;Not;;rtc_main_timer_int_st;[8];1'b0;RO;;;;;;;;;
;;;;Not;;rtc_brown_out_int_st;[7];1'b0;RO;;;;;;;;;
;;;;Not;;rtc_touch_int_st;[6];1'b0;RO;;;;;;;;;
;;;;Not;;rtc_sar_int_st;[5];1'b0;RO;;;;;;;;;
;;;;Not;;rtc_time_valid_int_st;[4];1'b0;RO;;;;;;;;;
;;;;Not;;rtc_wdt_int_st;[3];1'b0;RO;;;;;;;;;
;;;;Not;;sdio_idle_int_st;[2];1'b0;RO;;;;;;;;;
;;;;Not;;slp_reject_int_st;[1];1'b0;RO;;;;;;;;;
;;;;Not;;slp_wakeup_int_st;[0];1'b0;RO;;;;;;;;;
0x0012;INT_CLR_RTC;dig_clk_rtc;rst_rtc_n;;;;[31:9];;;;;;;;;;;
;;;;Not;;rtc_main_timer_int_clr;[8];1'b0;WO;;;;;;;;;
;;;;Not;;rtc_brown_out_int_clr;[7];1'b0;WO;;;;;;;;;
;;;;Not;;rtc_touch_int_clr;[6];1'b0;WO;;;;;;;;;
;;;;Not;;rtc_sar_int_clr;[5];1'b0;WO;;;;;;;;;
;;;;Not;;rtc_time_valid_int_clr;[4];1'b0;WO;;;;;;;;;
;;;;Not;;rtc_wdt_int_clr;[3];1'b0;WO;;;;;;;;;
;;;;Not;;sdio_idle_int_clr;[2];1'b0;WO;;;;;;;;;
;;;;Not;;slp_reject_int_clr;[1];1'b0;WO;;;;;;;;;
;;;;Not;;slp_wakeup_int_clr;[0];1'b0;WO;;;;;;;;;
0x0013;RTC_STORE0;dig_clk_rtc_gated;rst_rtc_n;;;rtc_scratch0;[31:0];0;R/W;;;;;;;;;
0x0014;RTC_STORE1;dig_clk_rtc_gated;rst_rtc_n;;;rtc_scratch1;[31:0];0;R/W;;;;;;;;;
0x0015;RTC_STORE2;dig_clk_rtc_gated;rst_rtc_n;;;rtc_scratch2;[31:0];0;R/W;;;;;;;;;
0x0016;RTC_STORE3;dig_clk_rtc_gated;rst_rtc_n;;;rtc_scratch3;[31:0];0;R/W;;;;;;;;;
0x0017;RTC_EXT_XTL_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_xtl_ext_ctr_en;[31];1'b0;R/W;;;;;;;;;
;;;;;;reg_xtl_ext_ctr_lv;[30];1'b0;R/W;;;;;;;;;
;;;;;;;[29:0];;;;;;;;;;;
0x0018;RTC_EXT_WAKEUP_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_ext_wakeup1_lv;[31];1'b0;R/W;;;;;;;;;
;;;;;;reg_ext_wakeup0_lv;[30];1'b0;R/W;;;;;;;;;
;;;;;;;[29:0];;;;;;;;;;;
0x0019;RTC_SLP_REJECT_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reject_cause;[31:28];4'b0;RO;;;;;;;;;
;;;;;;reg_deep_slp_reject_en;[27];1'b0;R/W;;;;;;;;;
;;;;;;reg_light_slp_reject_en;[26];1'b0;R/W;;;;;;;;;
;;;;;;reg_sdio_reject_en;[25];1'b0;R/W;;;;;;;;;
;;;;;;reg_gpio_reject_en;[24];1'b0;R/W;;;;;;;;;
;;;;;;;[23:0];;;;;;;;;;;
0x001a;RTC_CPU_PERIOD_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_rtc_cpuperiod_sel;[31:30];2'b00;R/W;;;;;;;;;
;;;;;;reg_rtc_cpusel_conf;[29];1'b0;R/W;;;;;;;;;
;;;;;;;[28:0];;;;;;;;;;;
0x001b;RTC_SDIO_ACT_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_sdio_act_dnum;[31:22];10'b0;R/W;;;;;;;;;
;;;;;;;[21:0];;;;;;;;;;;
0x001c;RTC_CLK_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_ana_clk_rtc_sel;[31:30];2'd0;R/W;;;;;;;;;
;;;;;;reg_fast_clk_rtc_sel;[29];1'b0;R/W;;;;;;;;;
;;;;;;reg_soc_clk_sel;[28:27];2'd0;R/W;;;;;;;;;
;;;;;;reg_ck12m_force_pu;[26];1'd0;R/W;;;;;;;;;
;;;;;;reg_ck12m_force_pd;[25];1'd0;R/W;;;;;;;;;
;;;;;;reg_ck12m_dfreq;[24:17];8'd0;R/W;;;;;;;;;
;;;;;;reg_ck12m_force_nogating;[16];1'd0;R/W;;;;;;;;;
;;;;;;reg_xtal_force_nogating;[15];1'd0;R/W;;;;;;;;;
;;;;;;reg_ck12m_div_sel;[14:12];3'd2;R/W;;;;;0: divider =1;  1: divider =2;  2: divider =4;  3: divider =8; 4: divider =16
;;;;;;reg_ck12m_dfreq_force;[11];1'd0;R/W;;;;;;;;;
;;;;;;reg_dig_clk12m_en;[10];1'd0;R/W;;;;;;;;;
;;;;;;reg_dig_clk12m_d256_en;[9];1'd1;R/W;;;;;;;;;
;;;;;;reg_dig_xtal32k_en;[8];1'd0;R/W;;;;;;;;;
;;;;;;reg_enb_ck12m_div;[7];1'd0;R/W;;;;;;;;;
;;;;;;reg_enb_ck12m;[6];1'd0;R/W;;;;;;;;;
;;;;;;reg_ck12m_div;[5:4];2'b01;R/W;;;;;;;;;
;;;;;;;[3:0];;;;;;;;;;;
0x001d;RTC_SDIO_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_xpd_sdio_reg;[31];1'd0;R/W;;;;;;;;;
;;;;;;reg_drefh_sdio;[30:29];2'b00;R/W;;;;;;;;;
;;;;;;reg_drefm_sdio;[28:27];2'b00;R/W;;;;;;;;;
;;;;;;reg_drefl_sdio;[26:25];2'b01;R/W;;;;;;;;;
;;;;;;reg1p8_ready;[24];1'd0;RO;;;;;;;;;
;;;;;;reg_sdio_tieh;[23];1'd1;R/W;;;;;;;;;
;;;;;;reg_sdio_force;[22];1'd0;R/W;;;;;;;;;
;;;;;;reg_sdio_reg_pd_en;[21];1'd1;R/W;;;;;;;;;
;;;;;;;[20:0];;;;;;;;;;;
0x001e;RTC_BIAS_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_rst_bias_i2c;[31];1'd0;R/W;;;;;;;;;
;;;;;;reg_dec_heartbeat_width;[30];1'd0;R/W;;;;;;;;;
;;;;;;reg_inc_heartbeat_period;[29];1'd0;R/W;;;;;;;;;
;;;;;;reg_dec_heartbeat_period;[28];1'd0;R/W;;;;;;;;;
;;;;;;reg_inc_heartbeat_refresh;[27];1'd0;R/W;;;;;;;;;
;;;;;;reg_enb_sck_xtal;[26];1'd0;R/W;;;;;;;;;
;;;;;;reg_dbg_atten;[25:24];2'b00;R/W;;;;;;;;;
;;;;;;;[23:0];;;;;;;;;;;
0x001f;RTC_REG;dig_clk_rtc_gated;rst_rtc_n;;;reg_rtc_reg_force_pu;[31];1'd1;R/W;;;;;;;;;
;;;;;;reg_rtc_reg_force_pd;[30];1'd0;R/W;;;;;;;;;
;;;;;;reg_rtc_dboost_force_pu;[29];1'd1;R/W;;;;;;;;;
;;;;;;reg_rtc_dboost_force_pd;[28];1'd0;R/W;;;;;;;;;
;;;;;;reg_rtc_dbias_wak;[27:25];3'd4;R/W;;;;;;;;;
;;;;;;reg_rtc_dbias_slp;[24:22];3'd4;R/W;;;;;;;;;
;;;;;;reg_sck_dcap;[21:14];8'd0;R/W;;;;;;;;;
;;;;;;reg_dig_reg_dbias_wak;[13:11];3'd4;R/W;;;;;;;;;
;;;;;;reg_dig_reg_dbias_slp;[10:8];3'd4;R/W;;;;;;;;;
;;;;;;reg_sck_dcap_force;[7];1'd0;R/W;;;;;;;;;
;;;;;;;[6:0];;;;;;;;;;;
0x0020;RTC_PWC;dig_clk_rtc_gated;rst_rtc_n;;;;[31:21];;;;;;;;;;;
;;;;;;reg_rtc_pd_en;[20];1'd0;R/W;;;;;;;;;
;;;;;;reg_rtc_force_pu;[19];1'd0;R/W;;;;;;;;;
;;;;;;reg_rtc_force_pd;[18];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_pd_en;[17];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_force_pu;[16];1'b1;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_force_pd;[15];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_pd_en;[14];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_force_pu;[13];1'b1;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_force_pd;[12];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_force_lpu;[11];1'b1;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_force_lpd;[10];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_folw_cpu;[9];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_force_lpu;[8];1'b1;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_force_lpd;[7];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_folw_cpu;[6];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_force_noiso;[5];1'd1;R/W;;;;;;;;;
;;;;;;reg_rtc_force_iso;[4];1'd0;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_force_iso;[3];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_slowmem_force_noiso;[2];1'b1;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_force_iso;[1];1'b0;R/W;;;;;;;;;
;;;;;;reg_rtc_fastmem_force_noiso;[0];1'b1;R/W;;;;;;;;;
0x0021;DIG_PWC;dig_clk_rtc_gated;rst_rtc_n;;;reg_dg_wrap_pd_en;[31];0;R/W;;;;;;;;;
;;;;;;reg_wifi_pd_en;[30];0;R/W;;;;;;;;;
;;;;;;reg_inter_ram4_pd_en;[29];0;R/W;;;;;;;;;
;;;;;;reg_inter_ram3_pd_en;[28];0;R/W;;;;;;;;;
;;;;;;reg_inter_ram2_pd_en;[27];0;R/W;;;;;;;;;
;;;;;;reg_inter_ram1_pd_en;[26];0;R/W;;;;;;;;;
;;;;;;reg_inter_ram0_pd_en;[25];0;R/W;;;;;;;;;
;;;;;;reg_rom0_pd_en;[24];0;R/W;;;;;;;;;
;;;;;;;[23:21];;;;;;;;;;;
;;;;;;reg_dg_wrap_force_pu;[20];1'd1;R/W;;;;;;;;;
;;;;;;reg_dg_wrap_force_pd;[19];1'b0;R/W;;;;;;;;;
;;;;;;reg_wifi_force_pu;[18];1'd1;R/W;;;;;;;;;
;;;;;;reg_wifi_force_pd;[17];1'b0;R/W;;;;;;;;;
;;;;;;reg_inter_ram4_force_pu;[16];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram4_force_pd;[15];1'b0;R/W;;;;;;;;;
;;;;;;reg_inter_ram3_force_pu;[14];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram3_force_pd;[13];1'b0;R/W;;;;;;;;;
;;;;;;reg_inter_ram2_force_pu;[12];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram2_force_pd;[11];1'b0;R/W;;;;;;;;;
;;;;;;reg_inter_ram1_force_pu;[10];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram1_force_pd;[9];1'b0;R/W;;;;;;;;;
;;;;;;reg_inter_ram0_force_pu;[8];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram0_force_pd;[7];1'b0;R/W;;;;;;;;;
;;;;;;reg_rom0_force_pu;[6];1'd1;R/W;;;;;;;;;
;;;;;;reg_rom0_force_pd;[5];1'b0;R/W;;;;;;;;;
;;;;;;reg_lslp_mem_force_pu;[4];1'b1;R/W;;;;;;;;;
;;;;;;reg_lslp_mem_force_pd;[3];1'b0;R/W;;;;;;;;;
;;;;;;;[2:0];;;;;;;;;;;
0x0022;DIG_ISO;dig_clk_rtc_gated;rst_rtc_n;;;reg_dg_wrap_force_noiso;[31];1'd1;R/W;;;;;;;;;
;;;;;;reg_dg_wrap_force_iso;[30];1'd0;R/W;;;;;;;;;
;;;;;;reg_wifi_force_noiso;[29];1'd1;R/W;;;;;;;;;
;;;;;;reg_wifi_force_iso;[28];1'd0;R/W;;;;;;;;;
;;;;;;reg_inter_ram4_force_noiso;[27];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram4_force_iso;[26];1'd0;R/W;;;;;;;;;
;;;;;;reg_inter_ram3_force_noiso;[25];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram3_force_iso;[24];1'd0;R/W;;;;;;;;;
;;;;;;reg_inter_ram2_force_noiso;[23];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram2_force_iso;[22];1'd0;R/W;;;;;;;;;
;;;;;;reg_inter_ram1_force_noiso;[21];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram1_force_iso;[20];1'd0;R/W;;;;;;;;;
;;;;;;reg_inter_ram0_force_noiso;[19];1'd1;R/W;;;;;;;;;
;;;;;;reg_inter_ram0_force_iso;[18];1'd0;R/W;;;;;;;;;
;;;;;;reg_rom0_force_noiso;[17];1'd1;R/W;;;;;;;;;
;;;;;;reg_rom0_force_iso;[16];1'd0;R/W;;;;;;;;;
;;;;;;reg_dg_pad_force_hold;[15];1'd0;R/W;;;;;;;;;
;;;;;;reg_dg_pad_force_unhold;[14];1'd1;R/W;;;;;;;;;
;;;;;;reg_dg_pad_force_iso;[13];1'd0;R/W;;;;;;;;;
;;;;;;reg_dg_pad_force_noiso;[12];1'd1;R/W;;;;;;;;;
;;;;;;reg_dg_pad_autohold_en;[11];1'd0;R/W;;;;;;;;;
;;;;;;clr_dg_pad_autohold;[10];1'd0;WO;;;;;;;;;
;;;;;;dg_pad_autohold;[9];1'd0;RO;;;;;;;;;
;;;;;;reg_dig_iso_force_on;[8];1'd0;R/W;;;;;;;;;
;;;;;;reg_dig_iso_force_off;[7];1'd0;R/W;;;;;;;;;
;;;;;;;[6:0];;;;;;;;;;;
0x0023;RTC_WDTCONFIG0;dig_clk_rtc_gated;rst_rtc_n;;;reg_wdt_en;[31];1'h0;R/W;;;;PROT=wdt_wprotectn;;;;;
;;;;;;reg_wdt_stg0;[30:28];3'h0;R/W;;;;;bit0: interrupt stage en     bit1  CPU reset stage en      bit2: system reset stage en;;;;
;;;;;;reg_wdt_stg1;[27:25];3'h0;R/W;;;;;;;;;
;;;;;;reg_wdt_stg2;[24:22];3'h0;R/W;;;;;;;;;
;;;;;;reg_wdt_stg3;[21:19];3'h0;R/W;;;;;;;;;
;;;;;;reg_wdt_edge_int_en;[18];1'h0;R/W;;;;;;;;;
;;;;;;reg_wdt_level_int_en;[17];1'h0;R/W;;;;;;;;;
;;;;;;reg_wdt_cpu_reset_length;[16:14];3'h1;R/W;;;;;;;;;
;;;;;;reg_wdt_sys_reset_length;[13:11];3'h1;R/W;;;;;;;;;
;;;;;;reg_wdt_flashboot_mod_en;[10];1'h1;R/W;;;;;;;;;
;;;;;;reg_wdt_procpu_reset_en;[9];1'd0;R/W;;;;;;;;;
;;;;;;reg_wdt_appcpu_reset_en;[8];1'd0;R/W;;;;;;;;;
;;;;;;reg_wdt_pause_in_slp;[7];1'd1;R/W;;;;;;;;;
;;;;;;;[6:0];;;;;;;;;;;
0x0024;RTC_WDTCONFIG1;dig_clk_rtc_gated;rst_rtc_n;;;reg_wdt_stg0_hold;[31:0];32'd128000;R/W;;;;PROT=wdt_wprotectn;;;;;
0x0025;RTC_WDTCONFIG2;dig_clk_rtc_gated;rst_rtc_n;;;reg_wdt_stg1_hold;[31:0];32'd80000;R/W;;;;PROT=wdt_wprotectn;;;;;
0x0026;RTC_WDTCONFIG3;dig_clk_rtc_gated;rst_rtc_n;;;reg_wdt_stg2_hold;[31:0];32'hfff;R/W;;;;PROT=wdt_wprotectn;;;;;
0x0027;RTC_WDTCONFIG4;dig_clk_rtc_gated;rst_rtc_n;;;reg_wdt_stg3_hold;[31:0];32'hfff;R/W;;;;PROT=wdt_wprotectn;;;;;
0x0028;RTC_WDTFEED;dig_clk_rtc_gated;rst_rtc_n;;;rtc_wdt_feed;[31];1'd0;WO;;;;;;;;;
;;;;;;;[30:0];;;;;;;;;;;
0x0029;RTC_WDTWPROTECT;dig_clk_rtc_gated;rst_rtc_n;;;reg_wdt_wkey;[31:0];32'h50d83aa1;R/W;;;;IO = I, wdt_wprotectn;;;;;
0x002a;RTC_TEST_MUX;dig_clk_rtc_gated;rst_rtc_n;;;reg_dtest_rtc;[31:30];2'd0;R/W;;;;;;;;;
;;;;;;reg_ent_rtc;[29];1'd0;R/W;;;;;;;;;
;;;;;;;[28:0];;;;;;;;;;;
0x002b;RTC_SW_CPU_STALL;dig_clk_rtc_gated;rst_rtc_n;;;reg_sw_stall_procpu_c1;[31:26];6'b0;R/W;;;;;;;;;
;;;;;;reg_sw_stall_appcpu_c1;[25:20];6'b0;R/W;;;;;;;;;
;;;;;;;[19:0];;;;;;;;;;;
