Address;RegName;Clk;Rst;Port;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;INPUT;OUTPUT;INTERRUPT;apbmpu;Psel0;Addr0;Psel1;Addr1;FIX
;;;;;;cpu_intr_from_cpu_3;[0];1'b0;R/W;;;;;;;;;;;;;
0x068;RSA_PD_CTRL_REG;clk;reset_n;;;;[31:1];31'b0;RO;;;;;;;;;;;;;
;;;;;;rsa_mem_pd;[0];1'b1;R/W;;;;;;;;;;;;;
0x06C;SPI_SHARED_DMA_SEL;clk;reset_n;;;;[31:1];31'b0;RO;;;;;;;;;;;;;
;;;;;;spi_shared_dma_sel;[0];1'b0;R/W;;;;;;;;;;;;;
0x070;BUSTOEXTMEM_ENA;clk;reset_n;;;;[31:1];31'b0;RO;;;;;;;;;;;;;
;;;;;;bustoextmem_ena;[0];1'b1;R/W;;;;;;;;;;;;;
0x074;Cache_Control;clk;reset_n;;;;[31:3];29'b0;RO;;;;;;;;;;;;;
;;;;;;pro_cache_reset;[2];1'b0;R/W;;;;;;;;;;;;;
;;;;;;pro_dcache_clk_on;[1];1'b1;R/W;;;;;;;;;;;;;
;;;;;;pro_icache_clk_on;[0];1'b1;R/W;;;;;;;;;;;;;
0x078;External_Device_Encrypt_Decrypt_Control;clk;reset_n;;;;[31:4];28'b0;RO;;;;;;;;;;;;;
;;;;;;enable_download_manual_encrypt;[3];1'b0;R/W;;;;;;;;;;;;;
;;;;;;enable_download_G0CB_decrypt;[2];1'b0;R/W;;;;;;;;;;;;;
;;;;;;enable_download_DB_encrypt;[1];1'b0;R/W;;;;;;;;;;;;;
;;;;;;enable_spi_manual_encrypt;[0];1'b0;R/W;;;;;;;;;;;;;
0x07C;RTC_FASTMEM_CONFIG;clk;reset_n;;;rtc_mem_crc_finish;[31];1'b0;RO;;;;;;;;;;;;;
;;;;;;reg_rtc_mem_crc_len;[30:20];11'h7ff;R/W;;;;;;;;;;;;;
;;;;;;reg_rtc_mem_crc_addr;[19:9];11'h0;R/W;;;;;;;;;;;;;
;;;;;;reg_rtc_mem_crc_start;[8];1'b0;R/W;;;;;;;;;;;;;
;;;;;;;[7:0];8'b0;RO;;;;;;;;;;;;;
0x080;RTC_FASTMEM_CRC;clk;reset_n;;;rtc_mem_crc_res;[31:0];32'b0;RO;;;;;;;;;;;;;
0x084;Redundant_ECO_Ctrl;clk;reset_n;;;;[31:2];30'b0;RO;;;;;;;;;;;;;
;;;;;;Redundant_ECO_result;[1];1'b0;RO;;;;;;;;;;;;;
;;;;;;Redundant_ECO_drive;[0];1'b0;R/W;;;;;;;;;;;;;
0x088;CLOCK_GATE_REG;clk;reset_n;;;;[31:1];31'h0;RO;;;;;;;;;;;;;
;;;;Not;;reg_clk_en;[0];1'b1;R/W;;;;;;;;;;;;;
0xFFC;SYSTEM_REG_DATE;clk;reset_n;;;;[31:28];4'h0;RO;;;;;;;;;;;;;
;;;;;;system_reg_date;[27:0];28'h1810300;R/W;;;;;;;;;;;;;
